"store","websites","attribute_set","type","category_ids","sku","has_options","name","meta_title","meta_description","image","small_image","thumbnail","gallery","url_key","url_path","custom_design","page_layout","options_container","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","gift_message_available","gift_wrapping_available","color","status","visibility","tax_class_id","occasion","apparel_type","sleeve_length","fit","size","length","gender","description","short_description","meta_keyword","custom_layout_update","special_from_date","special_to_date","news_from_date","news_to_date","custom_design_from","custom_design_to","price","special_price","weight","msrp","gift_wrapping_price","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","image_label","small_image_label","thumbnail_label","is_recurring","material","luggage_size","luggage_travel_style","bag_luggage_type","accessories_size","luggage_style","accessories_type","shoe_size","shoe_type","gendered","width","bedding_pattern","homeware_style","bed_bath_type","decor_type","home_decor_type","camera_type","camera_megapixels","electronic_type","cost","price_type","sku_type","weight_type","price_view","shipment_type","samples_title","links_title","links_purchased_separately","links_exist","format","books_music_type","author_artist","genre","style","necklace_length","jewelry_type","recurring_profile","pot_size","pot_material","pot_type","pot_manufacture","induction_cooker"
"admin","base","Clothing","simple","15","msj000","0","French Cuff Cotton Twill Oxford","","","/m/s/msj000t_1.jpg","/m/s/msj000t_1.jpg","/m/s/msj000t_1.jpg","","french-cuff-cotton-twill-oxford","french-cuff-cotton-twill-oxford.html","","1 column","Product Info Column"," ","Use config","Use config","No","No","White","Enabled","Not Visible Individually","Taxable Goods","Career","Shirts","Long Sleeve","Regular","S","","Male","Button front. Long sleeves. Tapered collar, chest pocket, french cuffs.","Made with wrinkle resistant cotton twill, this French-cuffed luxury dress shirt is perfect for Business Class frequent flyers.","","","","","","","","","190.0000","","1.0000","","","14.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","French Cuff Cotton Twill Oxford","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","base","Clothing","simple","15","msj001","0","French Cuff Cotton Twill Oxford","","","/m/s/msj000t_1.jpg","/m/s/msj000t_1.jpg","/m/s/msj000t_1.jpg","","french-cuff-cotton-twill-oxford","french-cuff-cotton-twill-oxford-529.html","","1 column","Product Info Column"," ","Use config","Use config","No","No","White","Enabled","Not Visible Individually","Taxable Goods","Career","Shirts","Long Sleeve","Regular","M","","Male","Button front. Long sleeves. Tapered collar, chest pocket, french cuffs.","Made with wrinkle resistant cotton twill, this French-cuffed luxury dress shirt is perfect for Business Class frequent flyers.","","","","","","","","","190.0000","","1.0000","","","25.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","French Cuff Cotton Twill Oxford","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","base","Clothing","simple","15","msj002","0","French Cuff Cotton Twill Oxford","","","/m/s/msj000t_1.jpg","/m/s/msj000t_1.jpg","/m/s/msj000t_1.jpg","","french-cuff-cotton-twill-oxford","french-cuff-cotton-twill-oxford-530.html","","1 column","Product Info Column"," ","Use config","Use config","No","No","White","Enabled","Not Visible Individually","Taxable Goods","Career","Shirts","Long Sleeve","Regular","L","","Male","Button front. Long sleeves. Tapered collar, chest pocket, french cuffs.","Made with wrinkle resistant cotton twill, this French-cuffed luxury dress shirt is perfect for Business Class frequent flyers.","","","","","","","","","190.0000","","1.0000","","","24.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","French Cuff Cotton Twill Oxford","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","base","Clothing","simple","15","msj003","0","Slim fit Dobby Oxford Shirt","","","/m/s/msj003t_1.jpg","/m/s/msj003t_1.jpg","/m/s/msj003t_1.jpg","","slim-fit-dobby-oxford-shirt","slim-fit-dobby-oxford-shirt.html","","1 column","Product Info Column"," ","Use config","Use config","No","No","Blue","Enabled","Not Visible Individually","Taxable Goods","Evening","Shirts","Long Sleeve","Slim","S","","Male","Tailored/Slim fit. Long sleeves. Button cuff. Cotton. Imported.","A bold hue and understated dobby detail bring refined nuance to this modern dress shirt. ","","","","","","","","","175.0000","","1.0000","","","25.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Slim fit Dobby Oxford Shirt","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","base","Clothing","simple","15","msj004","0","Slim fit Dobby Oxford Shirt","","","/m/s/msj003t_1.jpg","/m/s/msj003t_1.jpg","/m/s/msj003t_1.jpg","","slim-fit-dobby-oxford-shirt","slim-fit-dobby-oxford-shirt-534.html","","1 column","Product Info Column"," ","Use config","Use config","No","No","Blue","Enabled","Not Visible Individually","Taxable Goods","Evening","Shirts","Long Sleeve","Slim","M","","Male","Tailored/Slim fit. Long sleeves. Button cuff. Cotton. Imported.","A bold hue and understated dobby detail bring refined nuance to this modern dress shirt. ","","","","","","","","","175.0000","","1.0000","","","25.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Slim fit Dobby Oxford Shirt","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","base","Clothing","simple","15","msj005","0","Slim fit Dobby Oxford Shirt","","","/m/s/msj003t_1.jpg","/m/s/msj003t_1.jpg","/m/s/msj003t_1.jpg","","slim-fit-dobby-oxford-shirt","slim-fit-dobby-oxford-shirt-535.html","","1 column","Product Info Column"," ","Use config","Use config","No","No","Blue","Enabled","Not Visible Individually","Taxable Goods","Evening","Shirts","Long Sleeve","Slim","L","","Male","Tailored/Slim fit. Long sleeves. Button cuff. Cotton. Imported.","A bold hue and understated dobby detail bring refined nuance to this modern dress shirt. ","","","","","","","","","175.0000","","1.0000","","","-3.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2019-05-24 07:02:45","","1","0","1","1","1","0.0000","1","0","0","1","1","Slim fit Dobby Oxford Shirt","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","base","Clothing","simple","15,27","msj006","0","Plaid Cotton Shirt","","","/m/s/msj006t_1.jpg","/m/s/msj006t_1.jpg","/m/s/msj006t_1.jpg","","plaid-cotton-shirt","plaid-cotton-shirt.html","","1 column","Product Info Column"," ","Use config","Use config","No","No","Charcoal","Enabled","Not Visible Individually","Taxable Goods","Casual","Shirts","Long Sleeve","Sharp","S","","Male","Available in Sharp fit. Refined collar. Button cuff. Cotton. Machine wash. Made in US.","This everyday shirt is equally stylish with jeans or trousers.","","","","","","","","","160.0000","","1.0000","","","22.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Plaid Cotton Shirt","0","simple","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","base","Clothing","simple","15,27","msj007","0","Plaid Cotton Shirt","","","/m/s/msj006t_2.jpg","/m/s/msj006t_2.jpg","/m/s/msj006t_2.jpg","","plaid-cotton-shirt","plaid-cotton-shirt-539.html","","1 column","Product Info Column"," ","Use config","Use config","No","No","Charcoal","Enabled","Not Visible Individually","Taxable Goods","Casual","Shirts","Long Sleeve","Sharp","M","","Male","Available in Sharp fit. Refined collar. Button cuff. Cotton. Machine wash. Made in US.","This everyday shirt is equally stylish with jeans or trousers.","","","","","","","","","160.0000","","1.0000","","","25.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Plaid Cotton Shirt","0","simple","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","base","Clothing","simple","15,27","msj008","0","Plaid Cotton Shirt","","","/m/s/msj006t_3.jpg","/m/s/msj006t_3.jpg","/m/s/msj006t_3.jpg","","plaid-cotton-shirt","plaid-cotton-shirt-540.html","","1 column","Product Info Column"," ","Use config","Use config","No","No","Charcoal","Enabled","Not Visible Individually","Taxable Goods","Casual","Shirts","Long Sleeve","Sharp","L","","Male","Available in Sharp fit. Refined collar. Button cuff. Cotton. Machine wash. Made in US.","This everyday shirt is equally stylish with jeans or trousers.","","","","","","","","","160.0000","","1.0000","","","25.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Plaid Cotton Shirt","0","simple","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","base","Clothing","simple","14,40","msj009","0","Sullivan Sport Coat","","","/m/s/msj009t_1.jpg","/m/s/msj009t_1.jpg","/m/s/msj009t_1.jpg","","oxford-sport-coat","oxford-sport-coat.html","","1 column","Product Info Column"," ","Use config","Use config","No","No","Silver","Enabled","Not Visible Individually","Taxable Goods","Career","Tops","Long Sleeve","Slim","S","","Male","Two button, single vented, notched lapels. Three buttons at cuff. Interior buttoned welt pockets. Full polyester lining. 100% wool. Dry clean.","This modern, slim-fit sport jacket is crafted from ultralight refined wool and tailored to a two-button silhouete. Corresponding trousers form a spring-season suit that you can wear whereever.","","","","","","","","","510.0000","","1.0000","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2019-05-24 07:02:45","","1","0","1","1","1","0.0000","1","0","0","1","1","Sullivan Sport Coat","0","simple","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
